filter_level_1,filter_level_2,filter_level_3,variable_name,unit,value,scenario,year,geo
"PILLAR 2: Clean Electricity","Generation","NA","Onshore wind","TWh","412.37496","E+","2020","national"
"PILLAR 2: Clean Electricity","Generation","NA","Onshore wind","TWh","763.76149","E+","2025","national"
"PILLAR 2: Clean Electricity","Generation","NA","Onshore wind","TWh","1446.21","E+","2030","national"
"PILLAR 2: Clean Electricity","Generation","NA","Onshore wind","TWh","2198.99","E+","2035","national"
"PILLAR 2: Clean Electricity","Generation","NA","Onshore wind","TWh","3028.76","E+","2040","national"
"PILLAR 2: Clean Electricity","Generation","NA","Onshore wind","TWh","3709.58","E+","2045","national"
"PILLAR 2: Clean Electricity","Generation","NA","Onshore wind","TWh","4484.53","E+","2050","national"
"PILLAR 2: Clean Electricity","Generation","NA","Offshore wind","TWh","0.09267","E+","2020","national"
"PILLAR 2: Clean Electricity","Generation","NA","Offshore wind","TWh","3.90344","E+","2025","national"
"PILLAR 2: Clean Electricity","Generation","NA","Offshore wind","TWh","20.33791","E+","2030","national"
"PILLAR 2: Clean Electricity","Generation","NA","Offshore wind","TWh","80.67764","E+","2035","national"
"PILLAR 2: Clean Electricity","Generation","NA","Offshore wind","TWh","182.16953","E+","2040","national"
"PILLAR 2: Clean Electricity","Generation","NA","Offshore wind","TWh","454.5948","E+","2045","national"
"PILLAR 2: Clean Electricity","Generation","NA","Offshore wind","TWh","933.77678","E+","2050","national"
"PILLAR 2: Clean Electricity","Generation","NA","Rooftop PV","TWh","50.11515","E+","2020","national"
"PILLAR 2: Clean Electricity","Generation","NA","Rooftop PV","TWh","79.44034","E+","2025","national"
"PILLAR 2: Clean Electricity","Generation","NA","Rooftop PV","TWh","101.60554","E+","2030","national"
"PILLAR 2: Clean Electricity","Generation","NA","Rooftop PV","TWh","127.13917","E+","2035","national"
"PILLAR 2: Clean Electricity","Generation","NA","Rooftop PV","TWh","168.49238","E+","2040","national"
"PILLAR 2: Clean Electricity","Generation","NA","Rooftop PV","TWh","211.61064","E+","2045","national"
"PILLAR 2: Clean Electricity","Generation","NA","Rooftop PV","TWh","251.53193","E+","2050","national"
"PILLAR 2: Clean Electricity","Generation","NA","Utility-scale PV","TWh","88.87872","E+","2020","national"
"PILLAR 2: Clean Electricity","Generation","NA","Utility-scale PV","TWh","294.53138","E+","2025","national"
"PILLAR 2: Clean Electricity","Generation","NA","Utility-scale PV","TWh","655.74609","E+","2030","national"
"PILLAR 2: Clean Electricity","Generation","NA","Utility-scale PV","TWh","1168.68278","E+","2035","national"
"PILLAR 2: Clean Electricity","Generation","NA","Utility-scale PV","TWh","1694.39679","E+","2040","national"
"PILLAR 2: Clean Electricity","Generation","NA","Utility-scale PV","TWh","2268.19376","E+","2045","national"
"PILLAR 2: Clean Electricity","Generation","NA","Utility-scale PV","TWh","2832.59168","E+","2050","national"
"PILLAR 2: Clean Electricity","Generation","NA","Hydro","TWh","300.20792","E+","2020","national"
"PILLAR 2: Clean Electricity","Generation","NA","Hydro","TWh","312.15048","E+","2025","national"
"PILLAR 2: Clean Electricity","Generation","NA","Hydro","TWh","294.87498","E+","2030","national"
"PILLAR 2: Clean Electricity","Generation","NA","Hydro","TWh","294.64846","E+","2035","national"
"PILLAR 2: Clean Electricity","Generation","NA","Hydro","TWh","301.62544","E+","2040","national"
"PILLAR 2: Clean Electricity","Generation","NA","Hydro","TWh","292.15515","E+","2045","national"
"PILLAR 2: Clean Electricity","Generation","NA","Hydro","TWh","291.62618","E+","2050","national"
"PILLAR 2: Clean Electricity","Generation","NA","Geothermal","TWh","14.53121","E+","2020","national"
"PILLAR 2: Clean Electricity","Generation","NA","Geothermal","TWh","14.53378","E+","2025","national"
"PILLAR 2: Clean Electricity","Generation","NA","Geothermal","TWh","14.3335","E+","2030","national"
"PILLAR 2: Clean Electricity","Generation","NA","Geothermal","TWh","14.22987","E+","2035","national"
"PILLAR 2: Clean Electricity","Generation","NA","Geothermal","TWh","13.77892","E+","2040","national"
"PILLAR 2: Clean Electricity","Generation","NA","Geothermal","TWh","13.73999","E+","2045","national"
"PILLAR 2: Clean Electricity","Generation","NA","Geothermal","TWh","13.07108","E+","2050","national"
"PILLAR 2: Clean Electricity","Generation","NA","Nuclear","TWh","802.21839","E+","2020","national"
"PILLAR 2: Clean Electricity","Generation","NA","Nuclear","TWh","775.04061","E+","2025","national"
"PILLAR 2: Clean Electricity","Generation","NA","Nuclear","TWh","733.27192","E+","2030","national"
"PILLAR 2: Clean Electricity","Generation","NA","Nuclear","TWh","619.70426","E+","2035","national"
"PILLAR 2: Clean Electricity","Generation","NA","Nuclear","TWh","557.69511","E+","2040","national"
"PILLAR 2: Clean Electricity","Generation","NA","Nuclear","TWh","466.69898","E+","2045","national"
"PILLAR 2: Clean Electricity","Generation","NA","Nuclear","TWh","502.91903","E+","2050","national"
"PILLAR 2: Clean Electricity","Generation","NA","Gas","TWh","1490.48","E+","2020","national"
"PILLAR 2: Clean Electricity","Generation","NA","Gas","TWh","1741.55","E+","2025","national"
"PILLAR 2: Clean Electricity","Generation","NA","Gas","TWh","1453.26","E+","2030","national"
"PILLAR 2: Clean Electricity","Generation","NA","Gas","TWh","1117.1","E+","2035","national"
"PILLAR 2: Clean Electricity","Generation","NA","Gas","TWh","852.52773","E+","2040","national"
"PILLAR 2: Clean Electricity","Generation","NA","Gas","TWh","443.35384","E+","2045","national"
"PILLAR 2: Clean Electricity","Generation","NA","Gas","TWh","201.64696","E+","2050","national"
"PILLAR 2: Clean Electricity","Generation","NA","Gas w cc","TWh","0","E+","2020","national"
"PILLAR 2: Clean Electricity","Generation","NA","Gas w cc","TWh","0","E+","2025","national"
"PILLAR 2: Clean Electricity","Generation","NA","Gas w cc","TWh","1.42257","E+","2030","national"
"PILLAR 2: Clean Electricity","Generation","NA","Gas w cc","TWh","114.35591","E+","2035","national"
"PILLAR 2: Clean Electricity","Generation","NA","Gas w cc","TWh","151.87906","E+","2040","national"
"PILLAR 2: Clean Electricity","Generation","NA","Gas w cc","TWh","180.94976","E+","2045","national"
"PILLAR 2: Clean Electricity","Generation","NA","Gas w cc","TWh","231.32383","E+","2050","national"
"PILLAR 2: Clean Electricity","Generation","NA","Biomass","TWh","18.24886","E+","2020","national"
"PILLAR 2: Clean Electricity","Generation","NA","Biomass","TWh","19.6538","E+","2025","national"
"PILLAR 2: Clean Electricity","Generation","NA","Biomass","TWh","39.46157","E+","2030","national"
"PILLAR 2: Clean Electricity","Generation","NA","Biomass","TWh","26.27806","E+","2035","national"
"PILLAR 2: Clean Electricity","Generation","NA","Biomass","TWh","18.67523","E+","2040","national"
"PILLAR 2: Clean Electricity","Generation","NA","Biomass","TWh","13.43885","E+","2045","national"
"PILLAR 2: Clean Electricity","Generation","NA","Biomass","TWh","0.43586","E+","2050","national"
"PILLAR 2: Clean Electricity","Generation","NA","Biomass w cc","TWh","0","E+","2020","national"
"PILLAR 2: Clean Electricity","Generation","NA","Biomass w cc","TWh","0","E+","2025","national"
"PILLAR 2: Clean Electricity","Generation","NA","Biomass w cc","TWh","21.70064","E+","2030","national"
"PILLAR 2: Clean Electricity","Generation","NA","Biomass w cc","TWh","21.92624","E+","2035","national"
"PILLAR 2: Clean Electricity","Generation","NA","Biomass w cc","TWh","53.74991","E+","2040","national"
"PILLAR 2: Clean Electricity","Generation","NA","Biomass w cc","TWh","76.52977","E+","2045","national"
"PILLAR 2: Clean Electricity","Generation","NA","Biomass w cc","TWh","79.71244","E+","2050","national"
"PILLAR 2: Clean Electricity","Generation","NA","Coal","TWh","982.1172","E+","2020","national"
"PILLAR 2: Clean Electricity","Generation","NA","Coal","TWh","283.94623","E+","2025","national"
"PILLAR 2: Clean Electricity","Generation","NA","Coal","TWh","0.59925","E+","2030","national"
"PILLAR 2: Clean Electricity","Generation","NA","Coal","TWh","0.59755","E+","2035","national"
"PILLAR 2: Clean Electricity","Generation","NA","Coal","TWh","0.52564","E+","2040","national"
"PILLAR 2: Clean Electricity","Generation","NA","Coal","TWh","0.42935","E+","2045","national"
"PILLAR 2: Clean Electricity","Generation","NA","Coal","TWh","0.152","E+","2050","national"
